ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
8585,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Full in-person,Hobby,"Other doctoral degree (Ph.D., Ed.D., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Auditory material (e.g., podcasts)",Coursera;Udemy,16,5,Scientist,"10,000 or more employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have emailed me,Saudi Arabia,SAR	Saudi Arabian riyal,,Monthly,C#;Java;MATLAB;Python;SQL,C#;F#;Python;SQL,PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS;Google Cloud;Heroku;Microsoft Azure,AWS;Google Cloud;Heroku;Microsoft Azure,Django;Flask;Vue.js,Blazor;FastAPI,.NET;NumPy;Pandas;Qt;Scikit-learn;Torch/PyTorch,.NET;NumPy;Pandas;Qt;Scikit-learn;Torch/PyTorch;Hugging Face Transformers,Docker;Unity 3D,Unity 3D,IPython/Jupyter;Notepad++;RStudio;Visual Studio;Visual Studio Code,Notepad++;Qt Creator;Visual Studio;Visual Studio Code,Linux-based;Windows,Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,,,Cisco Webex Teams;Google Chat;Microsoft Teams;Slack;Zoom,Microsoft Teams,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
9281,I code primarily as a hobby,"Not employed, and not looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)","Technical documentation;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Online forum",,3,,,,,Visit developer communities like Stack Overflow,Saudi Arabia,,,,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;PowerShell;Python;Ruby;SQL;TypeScript;VBA,Assembly;Bash/Shell;C#;C++;HTML/CSS;JavaScript;Objective-C;Perl;PHP;PowerShell;Python;R;SQL;TypeScript;VBA,MySQL;Oracle;PostgreSQL;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Firebase Realtime Database;SQLite,Firebase;Google Cloud;Heroku;Managed Hosting;Microsoft Azure,AWS;DigitalOcean;Firebase;Google Cloud;Managed Hosting;Microsoft Azure;OpenStack;VMware,Django;Flask;jQuery;Laravel;Node.js;React.js,Angular.js;ASP.NET;Blazor;Django;Flask;jQuery;Node.js;React.js;Ruby on Rails;Vue.js,Electron;NumPy;Pandas;React Native,Electron;Flutter;NumPy;Pandas;React Native;Uno Platform,Docker;Homebrew;npm;Yarn,Chef;Flow;Homebrew;npm;Unity 3D;Unreal Engine,Android Studio;Atom;IntelliJ;Nano;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Webstorm,Android Studio;Atom;IntelliJ;IPython/Jupyter;Nano;Notepad++;PhpStorm;PyCharm;Spyder;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code;Webstorm,Linux-based,Linux-based;Windows,Git;Other (please specify):,Code editor;Command-line,,,,,Cisco Webex Teams;Google Chat;Microsoft Teams;Zoom,Cisco Webex Teams;Microsoft Teams;Rocketchat;Slack;Wire;Zoom,Unsure,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",Under 18 years old,Man,No,Straight / Heterosexual,Indian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Easy,
9766,I am a developer by profession,"Employed, full-time",Full in-person,Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Blogs;Written Tutorials;Stack Overflow;Online books;Coding sessions (live or recorded),Udemy,8,7,"Developer, full-stack",100 to 499 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow,Saudi Arabia,SAR	Saudi Arabian riyal,,,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Oracle,Microsoft SQL Server,,,ASP.NET;ASP.NET Core ,Angular;ASP.NET Core ,.NET,.NET,,,Notepad++;Visual Studio,Android Studio;Notepad++;Visual Studio,Windows,macOS;Windows,Git,Command-line;Dedicated version control GUI application,,,Asana,,Microsoft Teams,Microsoft Teams,Favorable,Stack Overflow,A few times per month or weekly,No,,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,Yes,Independent contributor,7.0,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Never,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Very long,Developer portal or other central places to find tools/services,Yes,Yes,No,Too long,Neither easy nor difficult,
10405,I am learning to code,"Student, full-time;Not employed, but looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp;Colleague","Technical documentation;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Interactive tutorial",Udemy;edX;Udacity,2,,Student,,,Start a free trial;Ask developers I know/work with,Saudi Arabia,,,,APL;Bash/Shell;C;Dart;Python,Bash/Shell;C;Python,,,,,,,,,,,Android Studio;IntelliJ;Vim;Visual Studio Code;Xcode,Vim;Visual Studio Code,Linux-based,Linux-based,Git,Command-line,,,,,,,Unsure,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Not sure,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
10430,I am learning to code,"Student, part-time",,,Primary/elementary school,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Stack Overflow,,1,,,,,Start a free trial,Saudi Arabia,,,,C;C#;C++;HTML/CSS;Java;JavaScript;Python;Rust,C#;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Rust;SQL;TypeScript,,,,,,,,,Unity 3D,Unity 3D,IntelliJ;PyCharm;Visual Studio;Visual Studio Code,,,Windows,Git,Code editor;Version control hosting service web GUI;Dedicated version control GUI application,,,,,,,Unsure,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Under 18 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
11044,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online forum;How-to videos;Coding sessions (live or recorded),,8,8,"Developer, full-stack",2 to 9 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Saudi Arabia,SAR	Saudi Arabian riyal,,Monthly,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,Google Cloud;Microsoft Azure,Google Cloud;Microsoft Azure,ASP.NET,ASP.NET,.NET,.NET,,,Visual Studio,Visual Studio,Windows,Windows,I don't use one,,,,,,Zoom,Zoom,Unsure,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Not sure,25-34 years old,Man,No,,Indian,,,Yes,Independent contributor,8.0,,,,,,,,,,,Over 120 minutes a day,,,,,,,Too long,Neither easy nor difficult,
12341,I code primarily as a hobby,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Full in-person,Hobby;Bootstrapping a business;Other (please specify):,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Programming Games;Written Tutorials;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded),Codecademy,1,,Student,,,Start a free trial,Saudi Arabia,,,,HTML/CSS,Dart;HTML/CSS;JavaScript;Python,,,,,,,,,,,Android Studio;Visual Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code,Windows,Windows,I don't use one,,,,Notion,Notion,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Indifferent,Stack Overflow,Less than once per month or monthly,No,,"No, not really",Under 18 years old,Man,No,Straight / Heterosexual,"Or, in your own words:;Middle Eastern",None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",,,,,,,,,,,,,,,,,,,,,Too short,Easy,
12931,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Online books;Video-based Online Courses;Online forum;How-to videos;Interactive tutorial;Coding sessions (live or recorded);Certification videos,Other,12,3,"Developer, mobile","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,SAR	Saudi Arabian riyal,276000.0,Yearly,Swift,Swift,,,Firebase,,,,,,,,Visual Studio Code;Xcode,Android Studio;IntelliJ;Visual Studio Code;Xcode,macOS,macOS,Git,Code editor;Command-line;Version control hosting service web GUI,,,Confluence;Jira Work Management,Confluence;Jira Work Management;Notion,Microsoft Teams,Microsoft Teams,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,"Or, in your own words:;Middle Eastern",None of the above,None of the above,Yes,Independent contributor,3.0,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Very long,Developer portal or other central places to find tools/services,No,Yes,Yes,Appropriate in length,Easy,73604.0
13914,I code primarily as a hobby,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Other (please specify):,,,5,,,,,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,,,,HTML/CSS;JavaScript;Lua;Python,HTML/CSS;JavaScript;Python,MongoDB,,Heroku;VMware,Heroku,Express;Flask;Node.js,Express;Node.js;React.js,Electron;NumPy;Pandas;Qt;React Native;TensorFlow;Torch/PyTorch;Hugging Face Transformers,,npm;Puppet;Unity 3D,npm;Unreal Engine,Atom;IPython/Jupyter;Nano;Notepad++;Visual Studio Code,,,Linux-based;Windows,Git,Command-line,,,,,,,Indifferent,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",Under 18 years old,Man,No,,Asian,None of the above,Prefer not to say,,,,,,,,,,,,,,,,,,,,,Too long,Difficult,
14831,I code primarily as a hobby,"Employed, full-time",Fully remote,Hobby;Bootstrapping a business;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;Written-based Online Courses;Interactive tutorial",,2,,"Developer, game or graphics",,,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,,,,Bash/Shell;Java;JavaScript;Lua;PowerShell;Rust;TypeScript,Assembly;C;C#;C++;Lua;PowerShell;Rust,MariaDB;MySQL;Redis,MariaDB;MySQL,Managed Hosting,Managed Hosting,,,.NET,.NET,Homebrew;npm;Yarn,,Emacs;Nano;Neovim;Notepad++;Vim;Visual Studio;Visual Studio Code,Nano;Neovim;Notepad++;Vim,Linux-based;Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line;Version control hosting service web GUI,,,Trello,Trello,,,Unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Under 18 years old,Man,No,Prefer to self-describe:,White;Middle Eastern,None of the above,None of the above,Yes,Independent contributor,2.0,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,1-2 times a week,10+ times a week,6-10 times a week,60-120 minutes a day,Less than 15 minutes a day,Very long,None of these,Yes,Yes,Yes,Appropriate in length,Easy,
15047,I code primarily as a hobby,"Employed, full-time",Full in-person,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Stack Overflow;Online books;How-to videos;Written-based Online Courses;Certification videos,,6,,"Senior Executive (C-Suite, VP, etc.)",,,,Saudi Arabia,,,,Clojure;Python,Clojure;Python,PostgreSQL,PostgreSQL,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,,,NumPy;Pandas,Apache Kafka,Docker,Docker,Emacs;IPython/Jupyter;Visual Studio Code,Emacs,macOS,macOS,Git,Code editor;Command-line,,,Notion;Trello,,Mattermost;Zoom,Mattermost;Zoom,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
15422,I am learning to code,"Not employed, but looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Stack Overflow;Video-based Online Courses;Online forum;How-to videos,,1,,Student,,,Start a free trial,Saudi Arabia,,,,C#,Assembly;C#;C++;JavaScript,,,,,,,.NET,.NET,,,Notepad++;Visual Studio,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor,,,,,,,Very unfavorable,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Not sure,25-34 years old,Man,No,Prefer to self-describe:,White,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
15627,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,,,,,6,,,,,,Saudi Arabia,,,,Assembly;C;C#;C++;Dart;Go;JavaScript;Lua;PHP;TypeScript,JavaScript;Lua;PHP;Rust;TypeScript,MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,Google Cloud;Heroku;OVH,DigitalOcean,Angular;Express;jQuery;Laravel;Node.js;Svelte;Vue.js,Fastify;Laravel;Node.js,.NET;Electron;Qt,,Docker;Homebrew;npm,Docker;Homebrew;npm,Android Studio;Atom;CLion;GoLand;IntelliJ;Notepad++;PhpStorm;Qt Creator;Rider;RubyMine;Sublime Text;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,Android Studio;CLion;GoLand;IntelliJ;PhpStorm;Rider;RubyMine;Visual Studio Code;Webstorm,,Linux-based;macOS;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,,,,,,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18470,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Full in-person,Hobby;School or academic work,"Other doctoral degree (Ph.D., Ed.D., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification","Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);How-to videos",Udemy,20,20,"Developer, full-stack;Educator;Scientist","1,000 to 4,999 employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,SAR	Saudi Arabian riyal,20000.0,Monthly,Bash/Shell;JavaScript;Julia;Lua;MATLAB;Perl;PowerShell;Python;SQL;TypeScript,Bash/Shell;JavaScript;Julia;Lua;MATLAB;Perl;PowerShell;Python;Rust;SQL;TypeScript,PostgreSQL;Redis,MariaDB;PostgreSQL;Redis,Google Cloud;Heroku,DigitalOcean;Heroku,Express;Node.js;React.js;Svelte;Vue.js,Express;Node.js;Svelte,Electron;NumPy;Pandas,Electron;NumPy;Pandas,Docker;npm;Yarn,Docker;npm,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Linux-based;Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,Airtable;Notion,Airtable;Notion,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack;Zoom,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,"Or, in your own words:;Middle Eastern",None of the above,"Or, in your own words:",No,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,64008.0
18488,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Full in-person,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Coding Bootcamp;Colleague",Programming Games;Written Tutorials;Stack Overflow;Video-based Online Courses;Online forum;How-to videos;Interactive tutorial;Coding sessions (live or recorded),,25,20,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator","1,000 to 4,999 employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,SAR	Saudi Arabian riyal,,Monthly,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;Swift;TypeScript;VBA,Assembly;Bash/Shell;C;C#;C++;F#;Go;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript;VBA,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Firebase Realtime Database;SQLite,CouchDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Firebase Realtime Database;SQLite,Firebase,AWS;Firebase;Google Cloud;Heroku;Microsoft Azure,ASP.NET;ASP.NET Core ;Django;jQuery;React.js,ASP.NET;ASP.NET Core ;Blazor;Express;jQuery;Next.js;Node.js;Nuxt.js;React.js,.NET,.NET;NumPy;React Native;TensorFlow,npm,npm;Unity 3D;Unreal Engine;Yarn,Nano;Notepad++;Vim;Visual Studio;Visual Studio Code;Xcode,Android Studio;Eclipse;Nano;NetBeans;Notepad++;Vim;Visual Studio;Visual Studio Code;Xcode,Linux-based;Windows,Linux-based;macOS;Windows,Git,Code editor;Command-line,,,,,Cisco Webex Teams;Slack;Zoom,Cisco Webex Teams;Zoom,Indifferent,Stack Overflow,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern;Asian,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
18664,I code primarily as a hobby,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Online books;Written-based Online Courses,,3,,,,,Visit developer communities like Stack Overflow,Saudi Arabia,,,,C;Haskell;HTML/CSS;JavaScript;MATLAB;Ruby;Rust;SQL;TypeScript,Assembly;C;C++;Haskell;HTML/CSS;LISP;Lua;MATLAB;Rust;SQL;TypeScript,,,Microsoft Azure;Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,Node.js;Nuxt.js;Vue.js,Node.js;Nuxt.js;Svelte;Vue.js,,,Docker;npm;Yarn,npm;Yarn,Emacs;Neovim,Emacs;Neovim,,Linux-based,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,,,Favorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",18-24 years old,Man,No,Straight / Heterosexual,African;Black,None of the above,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
20066,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,Primary/elementary school,"Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp",Technical documentation;Stack Overflow;Video-based Online Courses;How-to videos;Coding sessions (live or recorded),Udemy;Codecademy;Other,3,,"Developer, back-end;Student",,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,,,,JavaScript;Lua;PHP;Python;SQL,C++;Dart;Go;Java;PHP;Python;SQL;Swift,MySQL;Redis;SQLite,Microsoft SQL Server;MySQL;Redis,DigitalOcean;Heroku,DigitalOcean,FastAPI;Flask,FastAPI,,,,,Nano;Visual Studio Code,Visual Studio Code,Linux-based;Windows Subsystem for Linux (WSL),Windows,Git,Command-line,,,,,Google Chat,Google Chat,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,African;Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
20935,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Hackathons (virtual or in-person)","Technical documentation;Programming Games;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded);Certification videos",Codecademy;Udacity,8,3,"Data scientist or machine learning specialist;Developer, full-stack;DevOps specialist;Project manager;Senior Executive (C-Suite, VP, etc.)",I don’t know,I have a great deal of influence,Ask developers I know/work with;Research companies that have advertised on sites I visit;Research companies that have emailed me,Saudi Arabia,SAR	Saudi Arabian riyal,,,C#;C++;Go;HTML/CSS;Java;JavaScript;Python;Rust,C#;C++;Dart;Go;HTML/CSS;Java;Julia;Python;Rust;Solidity;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Heroku,Google Cloud;Heroku,ASP.NET Core ;jQuery;Node.js;Svelte;Vue.js,ASP.NET Core ;Blazor;Deno;jQuery;Nuxt.js;Svelte;Vue.js,.NET,.NET;Flutter,Docker;Kubernetes;Yarn,Docker;Kubernetes;Yarn,Eclipse;Neovim;Rider;Vim,Neovim;Rider;Vim,Linux-based;macOS,Windows,Git,Command-line;Version control hosting service web GUI,,,Trello,Trello,Slack,Slack,Favorable,Stack Overflow,A few times per week,No,,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have a concentration and/or memory disorder (e.g., ADHD, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
21043,I code primarily as a hobby,"Student, full-time;Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Written-based Online Courses;Coding sessions (live or recorded),,5,,Student;System administrator,,,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Saudi Arabia,,,,Assembly;C;C#;Java;Python;SQL,Bash/Shell;C++;Java;JavaScript;Python;SQL,MySQL,MySQL,,,,,,,,,Eclipse;IntelliJ,IntelliJ,Linux-based;Windows,Linux-based;Windows,I don't use one,,,,,,,,Favorable,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Easy,
21979,I code primarily as a hobby,"Not employed, and not looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Programming Games;Stack Overflow;How-to videos,,3,,,,,Visit developer communities like Stack Overflow;Ask developers I know/work with,Saudi Arabia,,,,Bash/Shell;C;C#;C++;Java;Lua;Python;SQL,Assembly;Go;HTML/CSS;JavaScript;Kotlin;Ruby;Rust,Cloud Firestore;Firebase Realtime Database;SQLite,Cloud Firestore;Microsoft SQL Server;PostgreSQL,Firebase;Google Cloud;Linode;VMware,Linode,Django;Express;Flask,Django;Flask;jQuery;Node.js;React.js,.NET;Keras;NumPy;Qt,.NET;NumPy;TensorFlow,Docker,Unity 3D;Unreal Engine,Eclipse;Notepad++;PyCharm;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),I don't use one,,,,,,Microsoft Teams,Microsoft Teams,Very favorable,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not really",Under 18 years old,Man,No,Straight / Heterosexual,I don't know,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
